Country;Name;Title
afghanistan;Ashraf GHANI;Pres.
afghanistan;Abdullah ABDULLAH, Dr.;CEO
afghanistan;Abdul Rashid DOSTAM;First Vice Pres.
afghanistan;Sarwar DANESH;Second Vice Pres.
afghanistan;Khyal Mohammad KHAN;First Deputy CEO
afghanistan;Nasir Ahmad DURRANI;Min. of Agriculture, Irrigation, & Livestock
afghanistan;Gul Agha SHERZAI;Min. of Border & Tribal Affairs
afghanistan;Ajmal AHMADY (Acting);Min. of Commerce & Industry
afghanistan;Salamat AZIMI;Min. of Counternarcotics
afghanistan;Asadullah KHALID (Acting);Min. of Defense
afghanistan;Mohammad Mustafa MASTOOR;Min. of Economy
afghanistan;Mohammad Mirwais BALKHI (Acting);Min. of Education
afghanistan;Tahir SHARAN (Acting);Min. of Energy & Water
afghanistan;Mohammad Humayun QAYOUMI (Acting);Min. of Finance
afghanistan;Salahuddin RABBANI;Min. of Foreign Affairs
afghanistan;Faiz Mohammad OSMANI;Min. of Hajj & Islamic Affairs
afghanistan;Abdul Tawab BALAKARZAI (Acting);Min. of Higher Education
afghanistan;Hasina SAFI (Acting);Min. of Information & Culture
afghanistan;Mohammad Masood ANDARABI (Acting);Min. of Interior
afghanistan;Abdul Basir ANWAR;Min. of Justice
afghanistan;Sayed Anwar SADAT (Acting);Min. of Martyred, Disabled, Labor, & Social Affairs
afghanistan;Nargis NEHAN (Acting);Min. of Mines & Petroleum
afghanistan;Faruq WARDAK;Min. of Parliamentary Affairs
afghanistan;Ferozuddin FEROZ;Min. of Public Health
afghanistan;Sayed Hussain Alemi BALKHI;Min. of Refugees & Repatriation
afghanistan;Mujib Rahman KARIMI;Min. of Rural Rehabilitation & Development
afghanistan;Fahim HASHEMI (Acting);Min. of Telecommunication & Information Technology
afghanistan;Ghulam Nabi FARAHI;Min. of Tourism
afghanistan;Yama YARI;Min. of Transport
afghanistan;Jawad PIKAR (Acting);Min. of Urban Development
afghanistan;Dilbar NAZARI;Min. of Women’s Affairs
afghanistan;Mohammad Farid HAMIDI;Attorney General
afghanistan;Hamdullah MOHIB;National Security Adviser
afghanistan;Mohammad Masoom STANEKZAI;Dir. Gen., National Directorate of Security
afghanistan;N/A;Governor, Da Afghanistan Bank
afghanistan;Roya RAHMANI;Ambassador to the US
afghanistan;Adela RAZ;Permanent Representative to the UN, New York
albania;Ilir META;Pres.
albania;Edi RAMA;Prime Min.
albania;Senida MESI;Dep. Prime Min.
albania;Niko PELESHI;Min. of Agriculture & Rural Development
albania;Mirela KUMBARO;Min. of Culture
albania;Olta XHACKA;Min. of Defense
albania;Pandeli MAJKO;Min. of Diaspora
albania;Milva EKONOMI;Min. of Economy
albania;Lindita NIKOLLA;Min. of Education, Sports, & Youth
albania;Lefter KOKA;Min. of Environment
albania;Ditmir BUSHATI;Min. for Europe & Foreign Affairs
albania;Arben AHMETAJ;Min. of Finance & Economy
albania;Orgerta MANASTIRLIU;Min. of Health & Social Welfare
albania;Damian GJIKNURI;Min. of Infrastructure & Energy
albania;Milena HARITO;Min. of Innovation & Public Admin.
albania;Klajda GJOSHA;Min. of Integration
albania;Fatmir XHAFAJ;Min. of Interior
albania;Etilda GJONAJT;Min. of Justice
albania;Bled CUCI;Min. of Local Govt. Affairs
albania;Sonila QATO;Min. of Protection of Entrepreneurs
albania;Ermonela FELAJ;Min. of Relations With Parliament
albania;Blendi KLOSI;Min. of Tourism & Environment
albania;Edmond HAXHINASTO;Min. of Transport & Infrastructure
albania;Eglantina GJERMENI;Min. of Urban Development
albania;Blendi KLOSI;Min. of Youth & Social Welfare
